PW,PH,Ratio,Cpav,UCS,APS,Stability
5.9,4,1.48,0.17,172,49.6,Stable
7.2,4,1.8,0.23,172,56.7,Stable
24,52,0.46,0,265,38,Stable
21,39,0.54,0,176,26,Stable
27,40,0.68,0.01,176,28,Stable
30,44,0.68,0.01,265,40,Stable
30,40,0.15,0.02,176,33,Stable
30,40,0.15,0.03,176,29,Stable
45,53,0.85,0.03,200,51,Stable
21,24,0.88,0.04,176,29,Stable
21,21,1,0.06,100,31,Stable
21,21,1,0.06,100,26,Stable
32,28,1.14,0.1,90,30,Stable
15,12,1.25,0.12,176,37,Stable
15,12,1.25,0.12,176,33,Stable
24,18,1.33,0.14,72,36,Stable
33,23,1.43,0.16,316,15,Stable
12,8,1.5,0.17,215,28,Stable
33,20,1.65,0.2,121,55,Stable
17,10,1.7,0.21,310,46,Stable
15,7,2.14,0.28,215,29,Stable
24,11,2.18,0.28,148,66,Stable
33,15,2.2,0.38,316,76,Stable
20,8,2.5,0.32,310,46,Stable
17,6,2.83,0.34,72,31,Stable
35,12,2.92,0.35,148,63,Stable
21,5,4.2,0.41,72,39,Stable
18,4,4.5,0.42,72,48,Stable
6.5,3.8,1.7,0.21,94,26,Stable
6.5,3.8,1.7,0.21,94,30,Stable
9.5,3.8,2.5,0.32,94,35,Stable
7.6,3.8,2,0.26,94,35,Stable
6.1,3.8,1.6,0.19,94,35,Stable
5.3,3.8,1.4,0.15,94,37,Stable
9.9,3.8,2.6,0.33,94,60,Stable
3,3,1,0.06,210,34.5,Stable
3,3,1,0.06,210,44.1,Stable
6.1,5.5,1.11,0.09,210,26.2,Stable
3,3,1,0.06,210,52.4,Stable
3,3,1,0.06,210,51.7,Stable
6.1,5.5,1.11,0.09,210,27.6,Stable
3,3,1,0.06,210,58.6,Stable
3,3,1,0.06,210,60,Stable
6.1,6.1,1,0.06,210,31.7,Stable
6.1,5.5,1.11,0.09,210,33.1,Stable
5.5,5.5,1,0.06,210,37.2,Stable
6.1,4.3,1.43,0.16,210,52.4,Stable
12.2,6.1,2,0.26,210,40,Stable
6.7,6.1,1.1,0.09,210,34.5,Stable
6.1,4.3,1.43,0.16,210,52.4,Stable
6.1,4.3,1.43,0.16,210,55.2,Stable
5.8,5.5,1.06,0.08,210,44.1,Stable
6.1,6.1,1,0.06,210,49.7,Stable
6.1,2.4,2.5,0.32,210,52.4,Stable
6.1,2.4,2.5,0.32,210,54.5,Stable
6.1,2.4,2.5,0.32,210,59.3,Stable
4.6,2.7,1.67,0.21,210,72.4,Stable
6.1,2.7,2.22,0.29,210,86.9,Stable
7.8,4,1.95,0.25,172,99.9,Unstable
4.8,4,1.2,0.11,172,77.9,Unstable
4.6,4,1.15,0.1,172,70.8,Unstable
3.5,4,0.88,0.04,172,70.8,Unstable
8.7,5,1.74,0.22,172,85,Unstable
7.6,4,1.9,0.24,172,91.8,Unstable
5.1,4,1.28,0.13,172,63.8,Unstable
12.1,4,3.03,0.36,172,91.8,Unstable
5.9,4,1.48,0.17,172,63.8,Unstable
12,4,3,0.36,172,42.5,Unstable
7.8,4,1.95,0.25,172,77.9,Unstable
24,52,0.46,0,265,720,Unstable
15,27,0.56,0,176,28,Unstable
27,46,0.59,0,265,59,Unstable
24,38,0.63,0.01,160,70,Unstable
30,44,0.68,0.01,265,82,Unstable
15,18,0.83,0.03,100,31,Unstable
25,28,0.89,0.04,90,32,Unstable
25,27,0.93,0.05,70,29,Unstable
15,15,1,0.06,176,43,Unstable
3,3.8,0.8,3,94,28,Unstable
3.8,3.8,1,0.06,94,34,Unstable
4.7,3.8,1.24,0.12,94,34,Unstable
4.9,3.8,1.3,0.13,94,35,Unstable
6.6,3.8,1.74,0.22,94,40,Unstable
5.1,3.8,1.5,0.17,94,47,Unstable
6.3,3.8,1.67,0.21,94,48,Unstable
5.3,3.8,1.4,0.15,94,48,Unstable
6.8,3.8,1.8,0.23,94,53,Unstable
3,3.8,0.8,0.03,94,54,Unstable
3.5,3.8,0.92,0.05,94,55,Unstable
3,3,1,0.06,210,78.6,Unstable
3,2.7,1.11,0.09,210,92.4,Unstable
3.8,6,0.63,0.01,240,68,Unstable
6,6,1,0.06,240,84,Unstable
6.2,6,1.03,0.07,240,74,Unstable
7.3,6,1.22,0.11,240,67,Unstable
4.6,4.5,1.02,0.07,172,93.5,Failed
4.6,4.5,1.02,0.07,172,93.5,Failed
5.6,4,1.4,0.15,172,93.5,Failed
6.3,4,1.58,0.19,172,93.5,Failed
5.4,5,1.08,0.08,172,93.5,Failed
4.7,5,0.94,0.05,172,93.5,Failed
3.9,4.5,0.87,0.04,172,93.5,Failed
5.8,4.5,1.29,0.13,172,93.5,Failed
4,4,1,0.06,172,93.5,Failed
5.9,4,1.48,0.17,172,105.4,Failed
5.5,4,1.38,0.15,172,93.5,Failed
5.1,4,1.43,0.16,172,105.4,Failed
5.2,4,1.3,0.13,172,98.6,Failed
5.3,4,1.33,0.14,172,91.8,Failed
4.8,5,0.96,0.05,172,88.4,Failed
7.1,4,1.78,0.22,172,98.6,Failed
4.3,4,1.08,0.08,172,93.5,Failed
3.1,5,0.62,0.01,172,93.5,Failed
15,49,0.31,0,200,64,Failed
9,20,0.45,0,100,38,Failed
11,23,0.48,0,316,99,Failed
15,30,0.5,0,100,38,Failed
14,28,0.5,0,90,49,Failed
11,20,0.55,0,121,69,Failed
15,27,0.56,0,176,31,Failed
11,18,0.61,0,316,102,Failed
27,40,0.68,0.01,176,38,Failed
19,28,0.68,0.01,90,41,Failed
30,40,0.15,0.02,176,51,Failed
15,18,0.83,0.03,100,40,Failed
4.6,3.8,1.2,0.11,94,56,Failed
3.4,3.8,0.9,0.04,94,48,Failed
2.3,3.8,0.6,0,94,48,Failed
2.3,3.8,0.6,0,94,48,Failed
2.3,3.8,0.6,0,94,48,Failed
2.9,3.8,0.76,0.02,94,50,Failed
4.8,3.8,1.26,0.12,94,53,Failed
5.3,3.8,1.4,0.15,94,55,Failed
3.8,3.8,1,0.06,94,55,Failed
3.6,3.8,0.96,0.05,94,55,Failed
4.6,3.8,1.2,0.11,94,55,Failed
6.1,3.8,1.6,0.19,94,58,Failed
5.1,3.8,1.5,0.17,94,58,Failed
3.8,3.8,1,0.06,94,58,Failed
1.9,3.8,0.5,0,94,58,Failed
3.8,3.8,1,0.26,94,59,Failed
7.6,3.8,2,0.06,94,59,Failed
3.8,3.8,1,0.06,94,59,Failed
3.8,3.8,1,0.06,94,59,Failed
3.8,3.8,1,0.06,94,59,Failed
8.6,3.8,2.27,0.29,94,60,Failed
2.3,3.8,0.6,0,94,60,Failed
4.6,3.8,1.2,0.11,94,63,Failed
4.6,3.8,1.2,0.11,94,54,Failed
3.5,3.8,0.92,0.05,94,55,Failed
5,3.8,1.32,0.14,94,55,Failed
4.9,3.8,1.3,0.13,94,56,Failed
5.3,3.8,1.4,0.15,94,63,Failed
5.1,3.8,1.5,0.17,94,63,Failed
3,2.7,1.11,0.09,210,104.8,Failed
3,2.7,1.11,0.09,210,108.3,Failed
4.6,3,1.5,0.17,210,127.6,Failed
4.7,6,0.78,0.02,240,95,Failed
1.5,6,1.25,0.12,240,83,Failed
1.5,6,1.25,0.12,240,100,Failed
8.5,6,1.42,0.16,240,82,Failed
10.5,6,1.75,0.22,240,92,Failed
