H,h,w1 ,w2 ,B,Sigma,Strength,Stress,SF,FP,Stability
36,3,5.4,5.4,6,48,9.64,4.41,2.19,0.06,Stabflat
48,6,9.9,9.9,6,50,7.86,3.4,2.31,0.04,Stabflat
270,3,8.1,8.1,3.6,46,11.9,15.49,0.77,0.78,Stabflat
75,2.7,9.9,9.9,6.6,28,8.75,5.73,1.53,0.34,Stabflat
38,5.1,7.2,7.2,3.9,33,5.43,2.48,2.19,0.06,Stabflat
30,5.1,9,9,6,21,4.01,2.29,1.75,0.22,Stabflat
102,4.8,10.1,10.1,2.4,35,6.93,4.3,1.61,0.3,Stabflat
75,3,6.3,6.3,4.2,35,7.79,5.73,1.36,0.45,Stabflat
106,3.5,16,16,4,29,10.07,4.55,2.21,0.06,Stabflat
38,5.1,18.3,18.3,4.2,33,7.94,1.58,5.02,1.63,Stabflat
266,4.8,40,40,5,43,21.74,9.26,2.35,0.03,Stabflat
30,2.1,6,6,6,19,6.01,3.3,1.82,0.19,Stabflat
36,3.6,9.3,9.3,5.7,40,8.62,2.58,3.35,0.01,Stabflat
80,2,5.8,5.8,5.5,29,8.61,8.35,1.03,0.64,Stabflat
85,1.8,7,7,3.9,41,12.83,5.67,2.26,0.05,Stabflat
95,2,18.3,18.3,4.2,27.6,13.95,9.07,1.54,0.21,Stabincl
103,1.8,20.8,18.3,4.2,8.3,13.66,6.84,2,0.03,Stabincl
73,1.8,20.8,18.3,4.2,44.7,19.6,5.8,3.38,0,Stabincl
65,1.8,22.4,22.4,3.6,18.3,17.04,5.14,3.32,0,Stabincl
129,3,25,35,4.5,16.45,9.98,5.75,1.74,0.1,Stabincl
380,3.4,53.6,53.6,5.5,18.9,33.23,17.41,1.91,0.04,Stabincl
380,3.4,62.8,62.8,5.5,18.9,34.68,16.01,2.17,0.01,Stabincl
457,3,53.8,53.8,4.2,14.92,37.87,15.85,2.39,0,Stabincl
445.3,2.8,53.8,53.8,4.2,15.34,40.1,15.44,2.6,0,Stabincl
235,1.5,30.5,30.5,4.5,8.1,37,10.8,3.43,0,Stabincl
240,2.5,30,30,4.5,28,14.39,9.25,1.55,0.2,Stabincl
400,2.5,43.5,43.5,4.5,28,25.5,13.59,1.88,0.05,Stabincl
315,3,40.8,40.8,4.2,17.79,30.17,14.47,2.09,0.01,Stabincl
128,4.5,6,6,4.5,46,7.73,10.78,0.72,0.85,Failflat
99,4.8,5.1,5.1,4.8,35,5.46,10.26,0.53,0.93,Failflat
36,5.1,3.6,3.6,4.5,33.2,4.65,5.01,0.93,0.65,Failflat
75,4.8,6,6,4.8,45.2,7.26,6.68,1.09,0.42,Failflat
141,3.6,7.5,7.5,6,31.4,7.04,12.56,0.56,0.92,Failflat
30,4.5,3,3,4.5,51.9,7.78,5.16,1.51,0.02,Failflat
30,4.5,3.6,3.6,5.7,45,6.85,5.51,1.24,0.21,Failflat
30,6,3.6,3.6,5.4,45,5.93,5.16,1.15,0.33,Failflat
36,3,3.9,3.9,6,26,5.07,6.38,0.79,0.8,Failflat
30,5.4,4.5,4.5,4.5,25,3.49,3.3,1.06,0.47,Failflat
23,8.1,4.65,4.65,5.55,24,2.59,3.04,0.85,0.74,Failflat
90,3.75,5.4,5.4,6,45,8.15,11.03,0.74,0.84,Failflat
54,3.6,5.4,5.4,6,33,6.23,6.62,0.94,0.64,Failflat
56,3.6,4.95,4.95,6.45,33,6.08,8.17,0.74,0.84,Failflat
42,4.8,4.5,4.5,4.5,47,7.14,4.62,1.55,0.01,Failflat
70,1.8,2.85,2.85,3.15,26,6.43,8.53,0.75,0.83,Failflat
51,1.8,3,3,3.6,26,6.48,6.79,0.96,0.61,Failflat
95,2,3,7.15,4.2,27.6,5.93,23.82,0.25,0.999,Failincl
103,1.8,2,7.15,4.2,8.3,2.46,25.38,0.1,0.998,Failincl
73,1.8,2,7.15,4.2,44.7,9.26,21.53,0.43,0.998,Failincl
65,1.8,2,9.2,3.6,18.3,4.64,16.73,0.28,0.999,Failincl
235,1.5,2.5,13.15,4.5,8.1,5.03,35.18,0.14,0.998,Failincl
